atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,45.08,..9.99,5.03,24.27..33.44,11.97,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.53,..0.97
..9.88,45.08,..9.99,5.4,24.27..33.44,11.6,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.48,..0.97
..9.88,45.08,..9.99,5.76,24.27..33.44,11.24,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.5,..0.97
..9.88,45.08,..9.99,9.77,24.27..33.44,7.23,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.58,..0.97
..9.88,45.08,..9.99,8.53,24.27..33.44,8.47,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.53,..0.97
..9.88,45.08,..9.99,3.42,24.27..33.44,13.58,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.43,..0.97
..9.88,45.08,..9.99,8.8,24.27..33.44,8.2,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.5,..0.97
..9.88,45.08,..9.99,9.99,24.27..33.44,7.01,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.54,..0.97
..9.88,45.08,..9.99,4.64,24.27..33.44,12.36,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.45,..0.97
..9.88,45.08,..9.99,10.42,24.27..33.44,6.58,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.51,..0.97
..9.88,45.08,..9.99,9.3,24.27..33.44,7.7,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.44,..0.97
..9.88,45.08,..9.99,10.62,24.27..33.44,6.38,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.51,..0.97
..9.88,45.08,..9.99,7.69,24.27..33.44,9.31,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.48,..0.97
..9.88,45.08,..9.99,6.11,24.27..33.44,10.89,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.5,..0.97
..9.88,45.08,..9.99,9.53,24.27..33.44,7.47,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.56,..0.97
..9.88,45.08,..9.99,3.84,24.27..33.44,13.16,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.45,..0.97
..9.88,45.08,..9.99,10.82,24.27..33.44,6.18,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.52,..0.97
..9.88,45.08,..9.99,4.25,24.27..33.44,12.75,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.49,..0.97
..9.88,45.08,..9.99,7.4,24.27..33.44,9.6,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.47,..0.97
..9.88,0.04,..9.99,3,24.27..33.44,14,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.21,..0.97
..9.88,45.08,..9.99,6.77,24.27..33.44,10.23,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.48,..0.97
..9.88,45.08,..9.99,9.05,24.27..33.44,7.95,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.57,..0.97
..9.88,45.08,..9.99,11.38,24.27..33.44,5.62,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.51,..0.97
..9.88,45.08,..9.99,11.01,24.27..33.44,5.99,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.48,..0.97
..9.88,45.08,..9.99,7.09,24.27..33.44,9.91,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.46,..0.97
..9.88,45.08,..9.99,6.44,24.27..33.44,10.56,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.56,..0.97
..9.88,45.08,..9.99,11.38,24.27..33.44,5.62,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.47,..0.97
..9.88,0.81,..9.99,9,64.18..76.88,29,8.89..9.5,..99.92,26.78..,2.38..,0.25..0.41,236.03..817.08,63.4..87.12,88.54..,0,..0.97
..9.88,100,..9.99,9.39,64.18..76.88,28.61,8.89..9.5,..99.92,26.78..,2.38..,0.25..0.41,236.03..817.08,63.4..87.12,88.54..,0.35,..0.97
..9.88,8.32,..9.99,9.32,77.07..,12.68,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.12,..0.97
